nextToLastStatusId,statusId,userId,status
5493,10985,1,"At any given time my wallet is worth more than its contents."
5494,10986,2,"At any given time my wallet is worth more than its contents."
5495,10987,3,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5496,10988,4,"I really like this site. Nice features #saidnooneever"
5497,10989,5,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5498,10990,6,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5499,10991,7,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
5500,10992,8,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
5501,10993,9,"At any given time my wallet is worth more than its contents."
5502,10994,10,"Your choices today are: live your life now or live with regret later."
5503,10995,11,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5504,10996,12,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
5505,10997,13,"Your choices today are: live your life now or live with regret later."
5506,10998,14,"If cats could talk, they would probably always be correcting your grammar."
5507,10999,15,"At any given time my wallet is worth more than its contents."
5508,11000,16,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
5509,11001,17,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5510,11002,18,"We all have to make sacrifices. I think we should start with you."
5511,11003,19,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
5512,11004,20,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
5513,11005,21,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
5514,11006,22,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5515,11007,23,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5516,11008,24,"At any given time my wallet is worth more than its contents."
5517,11009,25,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5518,11010,26,"Your choices today are: live your life now or live with regret later."
5519,11011,27,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
5520,11012,28,"We all have to make sacrifices. I think we should start with you."
5521,11013,29,"My weakness is that I care too much. Also, spalling"
5522,11014,30,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5523,11015,31,"My weakness is that I care too much. Also, spalling"
5524,11016,32,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
5525,11017,33,"I really like this site. Nice features #saidnooneever"
5526,11018,34,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5527,11019,35,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5528,11020,36,"My weakness is that I care too much. Also, spalling"
5529,11021,37,"We all have to make sacrifices. I think we should start with you."
5530,11022,38,"My weakness is that I care too much. Also, spalling"
5531,11023,39,"At any given time my wallet is worth more than its contents."
5532,11024,40,"At any given time my wallet is worth more than its contents."
5533,11025,41,"My weakness is that I care too much. Also, spalling"
5534,11026,42,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
5535,11027,43,"We all have to make sacrifices. I think we should start with you."
5536,11028,44,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5537,11029,45,"At any given time my wallet is worth more than its contents."
5538,11030,46,"At any given time my wallet is worth more than its contents."
5539,11031,47,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
5540,11032,48,"We all have to make sacrifices. I think we should start with you."
5541,11033,49,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
5542,11034,50,"Your choices today are: live your life now or live with regret later."
5543,11035,51,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
5544,11036,52,"My weakness is that I care too much. Also, spalling"
5545,11037,53,"If cats could talk, they would probably always be correcting your grammar."
5546,11038,54,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5547,11039,55,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
5548,11040,56,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5549,11041,57,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
5550,11042,58,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5551,11043,59,"Your choices today are: live your life now or live with regret later."
5552,11044,60,"If cats could talk, they would probably always be correcting your grammar."
5553,11045,61,"If cats could talk, they would probably always be correcting your grammar."
5554,11046,62,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5555,11047,63,"At any given time my wallet is worth more than its contents."
5556,11048,64,"Why are there no Knock Knock jokes about America? Because Freedom rings."
5557,11049,65,"We all have to make sacrifices. I think we should start with you."
5558,11050,66,"We all have to make sacrifices. I think we should start with you."
5559,11051,67,"I really like this site. Nice features #saidnooneever"
