lastStatusId,statusId,userId,status
1,5493,1,"Why are there no Knock Knock jokes about America? Because Freedom rings."
2,5494,2,"Why are there no Knock Knock jokes about America? Because Freedom rings."
3,5495,3,"If cats could talk, they would probably always be correcting your grammar."
4,5496,4,"If cats could talk, they would probably always be correcting your grammar."
5,5497,5,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
6,5498,6,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
7,5499,7,"Your choices today are: live your life now or live with regret later."
8,5500,8,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
9,5501,9,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
10,5502,10,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
11,5503,11,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
12,5504,12,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
13,5505,13,"Your choices today are: live your life now or live with regret later."
14,5506,14,"Let's not forget why we celebrate the 4th of July people, it is the day that Will Smith saved us from the aliens."
15,5507,15,"Why are there no Knock Knock jokes about America? Because Freedom rings."
16,5508,16,"Your choices today are: live your life now or live with regret later."
17,5509,17,"If cats could talk, they would probably always be correcting your grammar."
18,5510,18,"If cats could talk, they would probably always be correcting your grammar."
19,5511,19,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
20,5512,20,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
21,5513,21,"Your choices today are: live your life now or live with regret later."
22,5514,22,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
23,5515,23,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
24,5516,24,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
25,5517,25,"At any given time my wallet is worth more than its contents."
26,5518,26,"If cats could talk, they would probably always be correcting your grammar."
27,5519,27,"We all have to make sacrifices. I think we should start with you."
28,5520,28,"I can think of absolutely no acceptable situation where a grown man should be taking a bathroom mirror selfie."
29,5521,29,"Your choices today are: live your life now or live with regret later."
30,5522,30,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
31,5523,31,"Your choices today are: live your life now or live with regret later."
32,5524,32,"If cats could talk, they would probably always be correcting your grammar."
33,5525,33,"If cats could talk, they would probably always be correcting your grammar."
34,5526,34,"If cats could talk, they would probably always be correcting your grammar."
35,5527,35,"Pick any number. Multiply it by two. Now add 12 to it. Divide it by 3. Now change it to 10. What were we talking about?"
36,5528,36,"Fireworks are illegal here so all my family can play with tonight are lame old sparklers and high powered semi-automatic assault rifles."
37,5529,37,"I really like this site. Nice features #saidnooneever"
38,5530,38,"Tim Howard blocked me and everyone else on this site. #memphis #maf"
39,5531,39,"My weakness is that I care too much. Also, spalling"
40,5532,40,"There's no place like home. Unless you're a bee, in which case home is a terrible place filled with bees."
41,5533,41,"Why are there no Knock Knock jokes about America? Because Freedom rings."
